algoritmo;entrada;operacoes;tempo_ms;retorno
codigo1;31250000;15625000;19,692;7814540
codigo1;62500000;31250000;31,121;15624101
codigo1;125000000;62500000;57,789;31250158
codigo1;250000000;125000000;174,004;62490669
codigo1;500000000;250000000;253,168;124993980
codigo2;31250000;62500007;27,802;62500007
codigo2;62500000;125000007;46,415;125000007
codigo2;125000000;250000007;8,101;250000007
codigo2;250000000;500000007;16,191;500000007
codigo2;500000000;1000000007;32,350;1000000007
codigo3;12500;78118750;66,449;1
codigo3;25000;312487500;244,534;1
codigo3;50000;1249975000;549,535;1
codigo3;100000;4999950000;3823,659;1
codigo3;200000;19999900000;15676,629;1
codigo4;3;3;0,001;2
codigo4;6;15;0,001;8
codigo4;12;287;0,015;144
codigo4;24;92735;0,233;46368
codigo4;48;9615053951;11768,238;4807526976
